"","Municipality_Code","Municipality_Name","Type_of_Municipality_Code","Type_of_Muncipality","Region_Code","Count"
"1","0188","Norrtälje",6,"Mindre stad/tätort",1,225
"2","0140","Nykvarn",4,"Pendlingskommun nära större stad",1,55
"3","0127","Botkyrka",2,"Pendlingskommun nära storstad",1,771
"4","0162","Danderyd",2,"Pendlingskommun nära storstad",1,40
"5","0125","Ekerö",2,"Pendlingskommun nära storstad",1,68
"6","0136","Haninge",2,"Pendlingskommun nära storstad",1,447
"7","0126","Huddinge",2,"Pendlingskommun nära storstad",1,472
"8","0123","Järfälla",2,"Pendlingskommun nära storstad",1,377
"9","0186","Lidingö",2,"Pendlingskommun nära storstad",1,38
"10","0182","Nacka",2,"Pendlingskommun nära storstad",1,207
"11","0192","Nynäshamn",2,"Pendlingskommun nära storstad",1,149
"12","0117","Österåker",2,"Pendlingskommun nära storstad",1,212
"13","0128","Salem",2,"Pendlingskommun nära storstad",1,78
"14","0191","Sigtuna",2,"Pendlingskommun nära storstad",1,224
"15","0163","Sollentuna",2,"Pendlingskommun nära storstad",1,233
"16","0184","Solna",2,"Pendlingskommun nära storstad",1,148
"17","0183","Sundbyberg",2,"Pendlingskommun nära storstad",1,132
"18","0160","Täby",2,"Pendlingskommun nära storstad",1,108
"19","0138","Tyresö",2,"Pendlingskommun nära storstad",1,121
"20","0114","Upplands Väsby",2,"Pendlingskommun nära storstad",1,176
"21","0139","Upplands-Bro",2,"Pendlingskommun nära storstad",1,175
"22","0115","Vallentuna",2,"Pendlingskommun nära storstad",1,109
"23","0120","Värmdö",2,"Pendlingskommun nära storstad",1,102
"24","0187","Vaxholm",2,"Pendlingskommun nära storstad",1,27
"25","0181","Södertälje",3,"Större stad",1,1016
"26","0180","Stockholm",1,"Storstäder",1,2688
"27","0381","Enköping",5,"Lågpendlingskommun nära större stad",3,180
"28","0382","Östhammar",5,"Lågpendlingskommun nära större stad",3,34
"29","0319","Älvkarleby",4,"Pendlingskommun nära större stad",3,49
"30","0331","Heby",4,"Pendlingskommun nära större stad",3,40
"31","0330","Knivsta",4,"Pendlingskommun nära större stad",3,64
"32","0360","Tierp",4,"Pendlingskommun nära större stad",3,86
"33","0305","Håbo",2,"Pendlingskommun nära storstad",3,73
"34","0380","Uppsala",3,"Större stad",3,851
"35","0482","Flen",5,"Lågpendlingskommun nära större stad",4,44
"36","0483","Katrineholm",6,"Mindre stad/tätort",4,110
"37","0480","Nyköping",6,"Mindre stad/tätort",4,241
"38","0481","Oxelösund",7,"Pendlingskommun nära mindre tätort",4,28
"39","0428","Vingåker",7,"Pendlingskommun nära mindre tätort",4,13
"40","0461","Gnesta",4,"Pendlingskommun nära större stad",4,28
"41","0486","Strängnäs",4,"Pendlingskommun nära större stad",4,144
"42","0488","Trosa",4,"Pendlingskommun nära större stad",4,37
"43","0484","Eskilstuna",3,"Större stad",4,478
"44","0562","Finspång",5,"Lågpendlingskommun nära större stad",5,69
"45","0513","Kinda",5,"Lågpendlingskommun nära större stad",5,21
"46","0583","Motala",5,"Lågpendlingskommun nära större stad",5,115
"47","0563","Valdemarsvik",5,"Lågpendlingskommun nära större stad",5,26
"48","0560","Boxholm",7,"Pendlingskommun nära mindre tätort",5,13
"49","0509","Ödeshög",7,"Pendlingskommun nära mindre tätort",5,40
"50","0584","Vadstena",7,"Pendlingskommun nära mindre tätort",5,20
"51","0512","Ydre",7,"Pendlingskommun nära mindre tätort",5,8
"52","0561","Åtvidaberg",4,"Pendlingskommun nära större stad",5,22
"53","0586","Mjölby",4,"Pendlingskommun nära större stad",5,89
"54","0582","Söderköping",4,"Pendlingskommun nära större stad",5,30
"55","0580","Linköping",3,"Större stad",5,341
"56","0581","Norrköping",3,"Större stad",5,452
"57","0682","Nässjö",5,"Lågpendlingskommun nära större stad",6,115
"58","0687","Tranås",5,"Lågpendlingskommun nära större stad",6,38
"59","0665","Vaggeryd",5,"Lågpendlingskommun nära större stad",6,50
"60","0662","Gislaved",8,"Landsbygdskommun",6,82
"61","0685","Vetlanda",8,"Landsbygdskommun",6,56
"62","0683","Värnamo",6,"Mindre stad/tätort",6,107
"63","0686","Eksjö",7,"Pendlingskommun nära mindre tätort",6,42
"64","0617","Gnosjö",7,"Pendlingskommun nära mindre tätort",6,27
"65","0684","Sävsjö",7,"Pendlingskommun nära mindre tätort",6,51
