Municipality_Name,Temperature,Number_of_Fires_Month,Date,Percentage_of_Unemployed_18_64,Adj_Median_income_20plus,Total_Number_of_1000_Residents
Botkyrka,0.8451612903225806,7,Jan 2005,6.62614,94.33774417139256,76.67208333333333
Botkyrka,8.129032258064516,17,Oct 2005,6.596998,92.8171109733416,77.39283333333333
Botkyrka,12.773333333333333,12,Sep 2005,6.600236,92.99006211180124,77.31275
Botkyrka,5.743333333333333,6,Apr 2005,6.616426,93.57125,76.91233333333332
Botkyrka,-0.567741935483871,18,Dec 2005,6.590522,93.04785581106277,77.553
Botkyrka,10,8,May 2005,6.613188,93.51280449718925,76.99241666666667
Botkyrka,3.953333333333333,8,Nov 2005,6.59376,93.04785581106277,77.47291666666668
Botkyrka,18.358064516129033,11,Jul 2005,6.606712,93.86457680250784,77.15258333333333
Botkyrka,16.096774193548388,17,Aug 2005,6.603474,93.68836045056321,77.23266666666667
Botkyrka,14.286666666666667,6,Jun 2005,6.6099499999999995,93.51280449718925,77.0725
Botkyrka,-2.2964285714285713,3,Feb 2005,6.622902,93.92346298619825,76.75216666666667
Botkyrka,-2.97741935483871,4,Mar 2005,6.619664,93.68836045056321,76.83225
Botkyrka,-3.1032258064516127,3,Jan 2006,6.4777249999999995,97.71616541353383,77.67616666666667
Botkyrka,4.573333333333333,7,Apr 2006,6.139334,96.090573012939,78.04566666666668
Botkyrka,-4.396774193548387,5,Mar 2006,6.252131,96.56656346749226,77.9225
Botkyrka,4.38,7,Nov 2006,5.349755,95.32701711491443,78.90783333333333
Botkyrka,16.02,7,Jun 2006,5.91374,95.91328413284133,78.292
Botkyrka,4.2064516129032254,12,Dec 2006,5.236958,95.32701711491443,79.031
Botkyrka,-3.557142857142857,11,Feb 2006,6.364928,97.22880299251871,77.79933333333332
Botkyrka,10.496774193548386,4,May 2006,6.026536999999999,95.91328413284133,78.16883333333332
Botkyrka,9.316129032258065,12,Oct 2006,5.462552,95.50214329454991,78.78466666666667
Botkyrka,18.306451612903224,17,Aug 2006,5.688146,96.0314039408867,78.53833333333333
Botkyrka,19.938709677419354,20,Jul 2006,5.800943,96.090573012939,78.41516666666668
Botkyrka,14.673333333333334,11,Sep 2006,5.575348999999999,95.50214329454991,78.6615
Botkyrka,-0.07419354838709678,11,Jan 2007,5.188056833333333,102.60725261216963,79.11633333333333
Botkyrka,11.576666666666666,3,Sep 2007,4.7968475,100.02516476932294,79.799
Botkyrka,17.16774193548387,17,Aug 2007,4.845748666666666,100.99334543254689,79.71366666666667
Botkyrka,1.7866666666666666,9,Nov 2007,4.699045166666666,98.84073416222617,79.96966666666667
Botkyrka,3.8548387096774195,14,Mar 2007,5.0902544999999995,101.4228432563791,79.287
Botkyrka,7.0600000000000005,7,Apr 2007,5.041353333333333,100.8712990936556,79.37233333333333
Botkyrka,10.661290322580646,4,May 2007,4.992452166666666,100.99334543254689,79.45766666666667
Botkyrka,15.81,6,Jun 2007,4.943550999999999,100.81038647342996,79.543
Botkyrka,-3.3785714285714286,5,Feb 2007,5.1391556666666665,102.04278728606357,79.20166666666667
Botkyrka,16.496774193548386,11,Jul 2007,4.894649833333333,100.99334543254689,79.62833333333333
Botkyrka,6.935483870967742,11,Oct 2007,4.747946333333333,99.48867699642432,79.88433333333333
Botkyrka,1.2774193548387096,14,Dec 2007,4.650144,98.66548463356973,80.055
Botkyrka,0.7483870967741936,15,Dec 2008,6.165559,102.50673696543643,81.195
Botkyrka,18.006451612903227,6,Jul 2008,5.534136083333333,101.43710144927536,80.72
Botkyrka,1.9580645161290322,13,Jan 2008,4.776428583333334,104.21620011911853,80.15
Botkyrka,11.112903225806452,13,May 2008,5.281566916666667,101.79115764979639,80.53
Botkyrka,15.587096774193549,18,Aug 2008,5.660420666666667,101.49593967517401,80.815
Botkyrka,2.76,16,Nov 2008,6.039274416666666,101.14393063583815,81.1
Botkyrka,15.546666666666667,10,Jun 2008,5.4078515,101.31962941517082,80.625
Botkyrka,1.2580645161290323,8,Mar 2008,5.02899775,102.80787309048179,80.34
Botkyrka,10.786666666666667,12,Sep 2008,5.78670525,100.44718714121699,80.91
Botkyrka,2.303448275862069,12,Feb 2008,4.902713166666667,103.78351126927639,80.245
Botkyrka,7.693548387096774,3,Oct 2008,5.9129898333333335,100.27449856733524,81.005
Botkyrka,6.516666666666667,4,Apr 2008,5.155282333333333,102.26709526592636,80.435
Botkyrka,-1.8774193548387097,12,Jan 2009,6.324831166666667,104.42563198118754,81.31275
Botkyrka,-2.810714285714286,9,Feb 2009,6.4841033333333336,104.42563198118754,81.4305
Botkyrka,-2.3838709677419354,11,Dec 2009,8.076825,103.09228090539756,82.608
Botkyrka,0.5032258064516129,11,Mar 2009,6.643375499999999,104.11957796014067,81.54825
Botkyrka,5.17,10,Nov 2009,7.917552833333333,103.33216986620128,82.49025
Botkyrka,17.36774193548387,15,Jul 2009,7.2804641666666665,104.11957796014067,82.01925
Botkyrka,13.063333333333333,17,Sep 2009,7.5990085,103.5731778425656,82.25475
Botkyrka,5.035483870967742,15,Oct 2009,7.758280666666666,103.33216986620128,82.3725
Botkyrka,11.067741935483872,11,May 2009,6.961919833333333,103.87602339181286,81.78375
Botkyrka,13.313333333333333,11,Jun 2009,7.121192,103.63360560093349,81.9015
Botkyrka,7.216666666666667,11,Apr 2009,6.802647666666666,103.93680514921006,81.666
Botkyrka,16.690322580645162,10,Aug 2009,7.439736333333333,103.87602339181286,82.137
Botkyrka,-8.138709677419355,6,Jan 2010,8.07749675,105.55432242990655,82.78041666666667
Botkyrka,10.641935483870968,15,May 2010,8.08018375,104.45606936416185,83.47008333333333
Botkyrka,-7.435483870967742,5,Dec 2010,8.084886,102.50085082246171,84.677
Botkyrka,11.396666666666667,7,Sep 2010,8.08287075,103.91546866014951,84.15975
Botkyrka,-0.21000000000000002,6,Nov 2010,8.084214249999999,103.20331239291833,84.50458333333333
Botkyrka,5.580645161290323,10,Oct 2010,8.0835425,103.55816618911174,84.33216666666667
Botkyrka,14.796666666666667,7,Jun 2010,8.080855499999998,104.45606936416185,83.6425
Botkyrka,16.641935483870967,7,Aug 2010,8.082199,104.75884057971014,83.98733333333332
Botkyrka,20.335483870967742,8,Jul 2010,8.081527249999999,104.75884057971014,83.81491666666668
Botkyrka,-1.2548387096774194,8,Mar 2010,8.078840249999999,104.6981460023175,83.12525
Botkyrka,5.323333333333333,14,Apr 2010,8.079512,104.6981460023175,83.29766666666667
Botkyrka,-6.225,6,Feb 2010,8.0781685,104.94134727061557,82.95283333333333
Botkyrka,16.596666666666668,11,Jun 2011,8.297422999999998,104.61958356781092,85.4755
Botkyrka,5.386666666666667,7,Nov 2011,8.474537166666666,103.62820512820512,86.14091666666667
Botkyrka,13.323333333333334,17,Sep 2011,8.403691499999999,103.85977653631285,85.87475
Botkyrka,-2.732258064516129,5,Jan 2011,8.120308833333333,106.35526315789474,84.81008333333332
Botkyrka,8.19,18,Apr 2011,8.226577333333333,104.5607424071991,85.20933333333333
Botkyrka,16.548387096774192,7,Aug 2011,8.368268666666665,104.61958356781092,85.74166666666667
Botkyrka,-5.642857142857143,9,Feb 2011,8.155731666666666,105.69016486640136,84.94316666666667
Botkyrka,18.861290322580643,7,Jul 2011,8.332845833333332,104.61958356781092,85.60858333333333
Botkyrka,10.929032258064517,9,May 2011,8.262000166666667,104.32603815937149,85.34241666666667
Botkyrka,1.9096774193548387,7,Dec 2011,8.50996,103.45520311630496,86.274
Botkyrka,7.783870967741936,13,Oct 2011,8.439114333333332,103.85977653631285,86.00783333333332
Botkyrka,0.48387096774193544,5,Mar 2011,8.1911545,104.97402597402598,85.07625
Botkyrka,-1.6935483870967742,11,Jan 2012,8.60329775,107.86075238629984,86.38283333333332
Botkyrka,6.229032258064516,14,Oct 2012,9.4433375,106.9599109131403,87.36233333333332
Botkyrka,11.683333333333334,9,Sep 2012,9.34999975,106.84093437152391,87.2535
Botkyrka,11.19032258064516,14,May 2012,8.976648749999999,106.72222222222223,86.81816666666667
Botkyrka,-3.5451612903225804,13,Dec 2012,9.630013,106.9599109131403,87.58
Botkyrka,13.023333333333333,8,Jun 2012,9.069986499999999,106.9599109131403,86.927
Botkyrka,4.24,6,Apr 2012,8.883310999999999,106.66296501943364,86.70933333333333
Botkyrka,17.093548387096774,4,Jul 2012,9.16332425,107.37842370039128,87.03583333333333
Botkyrka,16.048387096774192,12,Aug 2012,9.256662,107.31843575418995,87.14466666666667
Botkyrka,3.986666666666667,14,Nov 2012,9.53667525,107.19866071428571,87.47116666666668
Botkyrka,-3.882758620689655,4,Feb 2012,8.6966355,107.19866071428571,86.49166666666667
Botkyrka,3.6548387096774193,10,Mar 2012,8.78997325,106.84093437152391,86.6005
Botkyrka,-3.5709677419354837,12,Mar 2013,9.622696,108.86421814134668,87.91025
Botkyrka,-4.422580645161291,10,Jan 2013,9.627574,109.78058361391695,87.69008333333333
Botkyrka,15.873333333333333,13,Jun 2013,9.615379,109.10708310094813,88.2405
Botkyrka,3.71,8,Nov 2013,9.603184,109.04626532887403,88.79091666666667
Botkyrka,16.825806451612902,6,Aug 2013,9.610501,109.16796875,88.46066666666667
Botkyrka,2.8419354838709676,9,Dec 2013,9.600745,108.7431906614786,88.901
Botkyrka,-2.282142857142857,2,Feb 2013,9.625135,109.35103409726104,87.80016666666667
Botkyrka,3.87,4,Apr 2013,9.620257,109.10708310094813,88.02033333333333
Botkyrka,12.441935483870967,29,May 2013,9.617818,108.92483296213808,88.13041666666668
Botkyrka,12.066666666666666,7,Sep 2013,9.608062,108.7431906614786,88.57075
Botkyrka,8.09032258064516,5,Oct 2013,9.605623,108.98551532033426,88.68083333333333
Botkyrka,17.690322580645162,7,Jul 2013,9.61294,109.28994413407821,88.35058333333333
Botkyrka,-1.8258064516129031,10,Jan 2014,9.56033525,113.23509561304837,88.94466666666668
Botkyrka,3.8129032258064517,7,Mar 2014,9.479515750000001,112.79103641456582,89.032
Botkyrka,16.780645161290323,8,Aug 2014,9.277467,112.53884851872554,89.25033333333333
Botkyrka,5.026666666666666,9,Nov 2014,9.15623775,112.47597765363129,89.38133333333333
Botkyrka,1.7892857142857144,10,Feb 2014,9.5199255,112.72788353863382,88.98833333333333
Botkyrka,6.526666666666666,6,Apr 2014,9.439106,112.35044642857143,89.07566666666668
Botkyrka,10.335483870967742,10,May 2014,9.39869625,112.2877858337981,89.11933333333333
Botkyrka,13.566666666666666,7,Jun 2014,9.3582865,112.0378408458542,89.163
Botkyrka,-0.1645161290322581,11,Dec 2014,9.115828,112.2877858337981,89.425
Botkyrka,19.983870967741936,10,Jul 2014,9.31787675,112.41317699609156,89.20666666666668
Botkyrka,12.493333333333334,18,Sep 2014,9.23705725,112.35044642857143,89.294
Botkyrka,9.025806451612903,14,Oct 2014,9.196647500000001,112.2877858337981,89.33766666666668
Botkyrka,0.532258064516129,11,Jan 2015,9.090697916666667,116.45828635851184,89.52916666666667
Botkyrka,9.425806451612903,10,May 2015,8.990177583333333,115.15997770345597,89.94583333333333
Botkyrka,13.91,6,Jun 2015,8.9650475,115.48183342649524,90.05
Botkyrka,3.2548387096774194,13,Mar 2015,9.04043775,115.54642058165548,89.7375
Botkyrka,17.10322580645161,11,Aug 2015,8.914787333333333,115.67581187010079,90.25833333333333
Botkyrka,16.416129032258066,10,Jul 2015,8.939917416666667,115.4173184357542,90.15416666666667
Botkyrka,0.7321428571428571,8,Feb 2015,9.065567833333333,115.61108002238389,89.63333333333333
