"","Date","DateTime","isCar","Municipality_Code","Reason","Count"
"1",2012-01-01,2012-01-01 00:00:00,"1","1984","Other Reason",1
"2",2012-01-01,2012-01-01 00:04:00,"1","1380","Other Reason",1
"3",2012-01-01,2012-01-01 00:08:00,"1","0128","Other Reason",1
"4",2012-01-01,2012-01-01 00:10:00,"1","0180","Other Reason",1
"5",2012-01-01,2012-01-01 00:20:00,"1","1401","Other Reason",1
"6",2012-01-01,2012-01-01 00:29:00,"1","1480","Arson",1
"7",2012-01-01,2012-01-01 00:47:00,"1","1283","Arson",1
"8",2012-01-01,2012-01-01 00:51:00,"1","1380","Arson",1
"9",2012-01-01,2012-01-01 00:59:00,"1","1881","Other Reason",1
"10",2012-01-01,2012-01-01 01:28:00,"1","0182","Other Reason",1
"11",2012-01-01,2012-01-01 01:39:00,"0","0126","Other Reason",1
"12",2012-01-01,2012-01-01 02:32:00,"1","1382","Arson",1
"13",2012-01-01,2012-01-01 02:45:00,"0","1486","Other Reason",1
"14",2012-01-01,2012-01-01 03:03:00,"1","0127","Other Reason",1
"15",2012-01-01,2012-01-01 03:08:00,"1","0180","Arson",1
"16",2012-01-01,2012-01-01 03:32:00,"1","1490","Arson",1
"17",2012-01-01,2012-01-01 03:38:00,"1","0163","Arson",1
"18",2012-01-01,2012-01-01 04:03:00,"0","0140","Other Reason",1
"19",2012-01-01,2012-01-01 04:04:00,"1","1471","Other Reason",1
"20",2012-01-01,2012-01-01 04:10:00,"1","1283","Arson",1
"21",2012-01-01,2012-01-01 04:27:00,"1","0482","Other Reason",1
"22",2012-01-01,2012-01-01 04:55:00,"1","1280","Arson",1
"23",2012-01-01,2012-01-01 05:29:00,"1","1315","Other Reason",1
"24",2012-01-01,2012-01-01 05:54:00,"1","1427","Other Reason",1
"25",2012-01-01,2012-01-01 07:48:00,"1","0115","Arson",1
"26",2012-01-01,2012-01-01 10:26:00,"1","0980","Arson",1
"27",2012-01-01,2012-01-01 16:49:00,"1","2282","Other Reason",1
"28",2012-01-01,2012-01-01 18:27:00,"0","0380","Other Reason",1
"29",2012-01-01,2012-01-01 18:33:00,"1","1480","Arson",1
"30",2012-01-01,2012-01-01 19:47:00,"1","0680","Other Reason",1
"31",2012-01-01,2012-01-01 20:57:00,"1","0461","Other Reason",1
"32",2012-01-01,2012-01-01 21:14:00,"1","0180","Other Reason",1
"33",2012-01-01,2012-01-01 21:47:00,"1","0180","Arson",1
"34",2012-01-01,2012-01-01 22:00:00,"0","1481","Arson",1
"35",2012-01-02,2012-01-02 00:14:00,"1","1283","Arson",1
"36",2012-01-02,2012-01-02 00:17:00,"0","1270","Other Reason",1
"37",2012-01-02,2012-01-02 00:37:00,"1","0139","Arson",1
"38",2012-01-02,2012-01-02 01:32:00,"1","0115","Arson",1
"39",2012-01-02,2012-01-02 09:38:00,"1","2313","Arson",1
"40",2012-01-02,2012-01-02 13:19:00,"1","0191","Technical Malfunctioning",1
"41",2012-01-02,2012-01-02 14:12:00,"1","0114","Technical Malfunctioning",1
"42",2012-01-02,2012-01-02 14:15:00,"1","2180","Technical Malfunctioning",1
"43",2012-01-02,2012-01-02 15:47:00,"1","2080","Other Reason",1
"44",2012-01-02,2012-01-02 19:25:00,"1","2284","Technical Malfunctioning",1
"45",2012-01-02,2012-01-02 20:03:00,"1","0140","Other Reason",1
"46",2012-01-02,2012-01-02 20:04:00,"1","0140","Other Reason",1
"47",2012-01-02,2012-01-02 20:11:00,"1","2081","Technical Malfunctioning",1
"48",2012-01-02,2012-01-02 20:11:00,"1","2403","Technical Malfunctioning",1
"49",2012-01-02,2012-01-02 20:59:00,"1","0180","Arson",1
"50",2012-01-02,2012-01-02 23:59:00,"1","0180","Arson",1
"51",2012-01-03,2012-01-03 00:28:00,"1","1277","Arson",1
"52",2012-01-03,2012-01-03 01:06:00,"1","1283","Arson",1
"53",2012-01-03,2012-01-03 01:11:00,"1","0180","Arson",1
"54",2012-01-03,2012-01-03 03:13:00,"1","1980","Arson",1
"55",2012-01-03,2012-01-03 13:29:00,"1","1447","Other Reason",1
"56",2012-01-03,2012-01-03 15:08:00,"1","0330","Technical Malfunctioning",1
"57",2012-01-03,2012-01-03 15:31:00,"0","0163","Other Reason",1
"58",2012-01-03,2012-01-03 15:55:00,"1","0127","Other Reason",1
"59",2012-01-03,2012-01-03 16:35:00,"1","1880","Technical Malfunctioning",1
"60",2012-01-03,2012-01-03 17:08:00,"1","1383","Other Reason",1
"61",2012-01-03,2012-01-03 18:00:00,"1","0484","Other Reason",1
"62",2012-01-03,2012-01-03 20:00:00,"0","0180","Other Reason",1
"63",2012-01-03,2012-01-03 21:47:00,"1","1283","Other Reason",1
"64",2012-01-03,2012-01-03 22:35:00,"1","0180","Arson",1
"65",2012-01-03,2012-01-03 22:52:00,"1","1283","Other Reason",1
"66",2012-01-03,2012-01-03 23:31:00,"1","1283","Other Reason",1
"67",2012-01-03,2012-01-03 23:54:00,"1","0180","Other Reason",1
"68",2012-01-04,2012-01-04 00:32:00,"1","0380","Other Reason",1
"69",2012-01-04,2012-01-04 03:57:00,"1","0181","Other Reason",1
"70",2012-01-04,2012-01-04 06:55:00,"0","0883","Other Reason",1
"71",2012-01-04,2012-01-04 07:01:00,"1","0180","Other Reason",1
"72",2012-01-04,2012-01-04 08:04:00,"0","1980","Other Reason",1
"73",2012-01-04,2012-01-04 17:42:00,"1","1287","Technical Malfunctioning",1
"74",2012-01-04,2012-01-04 17:48:00,"1","0127","Other Reason",1
"75",2012-01-04,2012-01-04 20:26:00,"1","0180","Other Reason",1
"76",2012-01-04,2012-01-04 20:56:00,"1","1781","Other Reason",1
"77",2012-01-05,2012-01-05 02:07:00,"1","1383","Other Reason",1
"78",2012-01-05,2012-01-05 02:09:00,"1","1282","Other Reason",1
"79",2012-01-05,2012-01-05 02:13:00,"1","1491","Other Reason",1
"80",2012-01-05,2012-01-05 03:49:00,"1","1480","Arson",1
"81",2012-01-05,2012-01-05 09:02:00,"0","0180","Technical Malfunctioning",1
"82",2012-01-05,2012-01-05 09:23:00,"1","2080","Other Reason",1
"83",2012-01-05,2012-01-05 14:07:00,"1","1277","Other Reason",1
"84",2012-01-05,2012-01-05 14:55:00,"1","1280","Arson",1
"85",2012-01-05,2012-01-05 16:55:00,"1","2482","Technical Malfunctioning",1
"86",2012-01-05,2012-01-05 23:47:00,"0","1765","Other Reason",1
"87",2012-01-06,2012-01-06 01:26:00,"1","0482","Arson",1
"88",2012-01-06,2012-01-06 03:14:00,"0","1441","Technical Malfunctioning",1
"89",2012-01-06,2012-01-06 08:59:00,"0","1292","Other Reason",1
"90",2012-01-06,2012-01-06 10:52:00,"1","1291","Other Reason",1
"91",2012-01-06,2012-01-06 13:10:00,"1","0123","Technical Malfunctioning",1
"92",2012-01-06,2012-01-06 13:54:00,"1","0180","Other Reason",1
"93",2012-01-06,2012-01-06 15:11:00,"1","0126","Technical Malfunctioning",1
"94",2012-01-06,2012-01-06 15:55:00,"1","2401","Technical Malfunctioning",1
"95",2012-01-06,2012-01-06 16:58:00,"1","1480","Arson",1
