"","Date","DateTime","isCar","Municipality_Code","Reason","Weekday","Temperature","Precipitation","Holidays","Christmas_Holidays","Sport_Holidays","Easter_Holidays","Summer_Holidays","Autumn_Holidays","Count"
"1",2012-01-01,2012-01-01 00:08:00,"1","0128","Other Reason","söndag",-1.4,6.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"2",2012-01-01,2012-01-01 00:10:00,"1","0180","Other Reason","söndag",-0.7,5.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4
"3",2012-01-01,2012-01-01 01:28:00,"1","0182","Other Reason","söndag",-1.1,5.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"4",2012-01-01,2012-01-01 01:39:00,"0","0126","Other Reason","söndag",-1.3,6.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"5",2012-01-01,2012-01-01 03:03:00,"1","0127","Other Reason","söndag",-1.4,5.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"6",2012-01-01,2012-01-01 03:08:00,"1","0180","Arson","söndag",-0.7,5.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4
"7",2012-01-01,2012-01-01 03:38:00,"1","0163","Arson","söndag",-1.3,5.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"8",2012-01-01,2012-01-01 04:03:00,"0","0140","Other Reason","söndag",-1.4,7.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"9",2012-01-01,2012-01-01 07:48:00,"1","0115","Arson","söndag",-1.4,5.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"10",2012-01-01,2012-01-01 21:14:00,"1","0180","Other Reason","söndag",-0.7,5.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4
"11",2012-01-01,2012-01-01 21:47:00,"1","0180","Arson","söndag",-0.7,5.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4
"12",2012-01-02,2012-01-02 00:37:00,"1","0139","Arson","måndag",4,4.6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"13",2012-01-02,2012-01-02 01:32:00,"1","0115","Arson","måndag",4.1,4.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"14",2012-01-02,2012-01-02 13:19:00,"1","0191","Technical Malfunctioning","måndag",4,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"15",2012-01-02,2012-01-02 14:12:00,"1","0114","Technical Malfunctioning","måndag",4,4.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"16",2012-01-02,2012-01-02 20:03:00,"1","0140","Other Reason","måndag",4,4.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"17",2012-01-02,2012-01-02 20:04:00,"1","0140","Other Reason","måndag",4,4.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"18",2012-01-02,2012-01-02 20:59:00,"1","0180","Arson","måndag",4.5,4.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"19",2012-01-02,2012-01-02 23:59:00,"1","0180","Arson","måndag",4.5,4.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"20",2012-01-03,2012-01-03 01:11:00,"1","0180","Arson","tisdag",3.2,11.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4
"21",2012-01-03,2012-01-03 15:31:00,"0","0163","Other Reason","tisdag",2.9,11.4,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"22",2012-01-03,2012-01-03 15:55:00,"1","0127","Other Reason","tisdag",2.8,13.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"23",2012-01-03,2012-01-03 20:00:00,"0","0180","Other Reason","tisdag",3.2,11.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4
"24",2012-01-03,2012-01-03 22:35:00,"1","0180","Arson","tisdag",3.2,11.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4
"25",2012-01-03,2012-01-03 23:54:00,"1","0180","Other Reason","tisdag",3.2,11.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4
"26",2012-01-04,2012-01-04 03:57:00,"1","0181","Other Reason","onsdag",3,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"27",2012-01-04,2012-01-04 07:01:00,"1","0180","Other Reason","onsdag",3.3,2.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"28",2012-01-04,2012-01-04 17:48:00,"1","0127","Other Reason","onsdag",3,2.3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"29",2012-01-04,2012-01-04 20:26:00,"1","0180","Other Reason","onsdag",3.3,2.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2
"30",2012-01-05,2012-01-05 09:02:00,"0","0180","Technical Malfunctioning","torsdag",-0.1,1.2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"31",2012-01-06,2012-01-06 13:10:00,"1","0123","Technical Malfunctioning","fredag",-2.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"32",2012-01-06,2012-01-06 13:54:00,"1","0180","Other Reason","fredag",-2,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"33",2012-01-06,2012-01-06 15:11:00,"1","0126","Technical Malfunctioning","fredag",-2.4,0.1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"34",2012-01-07,2012-01-07 03:12:00,"1","0180","Arson","lördag",-4,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"35",2012-01-08,2012-01-08 04:24:00,"1","0136","Other Reason","söndag",-2.7,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"36",2012-01-08,2012-01-08 05:06:00,"1","0180","Arson","söndag",-2.8,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"37",2012-01-08,2012-01-08 19:04:00,"1","0140","Other Reason","söndag",-3.5,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"38",2012-01-09,2012-01-09 08:28:00,"0","0180","Arson","måndag",-5.9,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"39",2012-01-09,2012-01-09 11:12:00,"1","0183","Arson","måndag",-6.3,0.9,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"40",2012-01-10,2012-01-10 00:33:00,"1","0180","Other Reason","tisdag",-2.1,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"41",2012-01-10,2012-01-10 03:31:00,"1","0180","Arson","tisdag",-2.1,0.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"42",2012-01-10,2012-01-10 23:36:00,"1","0181","Other Reason","tisdag",-2.4,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"43",2012-01-12,2012-01-12 01:21:00,"1","0136","Other Reason","torsdag",2,10.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"44",2012-01-12,2012-01-12 21:12:00,"1","0180","Other Reason","torsdag",2.2,10.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"45",2012-01-12,2012-01-12 23:55:00,"1","0136","Other Reason","torsdag",2,10.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"46",2012-01-13,2012-01-13 00:52:00,"1","0180","Other Reason","fredag",-0.6,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"47",2012-01-13,2012-01-13 00:54:00,"1","0181","Other Reason","fredag",-0.6,0.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"48",2012-01-13,2012-01-13 09:17:00,"0","0180","Technical Malfunctioning","fredag",-0.6,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"49",2012-01-13,2012-01-13 21:17:00,"1","0180","Other Reason","fredag",-0.6,0.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
"50",2012-01-13,2012-01-13 23:06:00,"1","0127","Other Reason","fredag",-0.8,0.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"51",2012-01-14,2012-01-14 02:17:00,"1","0138","Other Reason","lördag",-1.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"52",2012-01-14,2012-01-14 02:41:00,"1","0183","Other Reason","lördag",-1.3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"53",2012-01-14,2012-01-14 18:50:00,"1","0126","Other Reason","lördag",-1.4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"54",2012-01-14,2012-01-14 23:07:00,"1","0180","Arson","lördag",-1.1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1
"55",2012-01-15,2012-01-15 01:52:00,"1","0181","Other Reason","söndag",-3.1,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"56",2012-01-15,2012-01-15 04:23:00,"1","0181","Other Reason","söndag",-3.1,0.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2
"57",2012-01-16,2012-01-16 00:56:00,"1","0180","Arson","måndag",-0.8,3.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3
