År;1;2;3;4;5;6;7;8;9;10;11;12;Year
2020;1 900;1 910;1 907;1 901;;;;;;;;;
2019;1 876;1 890;1 895;1 908;1 913;1 910;1 917;1 909;1 918;1 919;1 921;1 928;1 909
2018;1 842;1 855;1 860;1 868;1 872;1 876;1 886;1 882;1 891;1 888;1 887;1 895;1 875
2017;1 813;1 826;1 825;1 836;1 837;1 838;1 848;1 845;1 848;1 846;1 850;1 857;1 839
2016;1 788;1 794;1 803;1 802;1 806;1 807;1 809;1 807;1 810;1 816;1 816;1 825;1 807
2015;1 774;1 787;1 788;1 788;1 794;1 789;1 790;1 786;1 793;1 795;1 792;1 794;1 789
2014;1 778;1 786;1 785;1 792;1 793;1 797;1 791;1 789;1 792;1 793;1 790;1 793;1 790
2013;1 782;1 789;1 797;1 793;1 796;1 793;1 790;1 792;1 799;1 795;1 794;1 799;1 793
2012;1 781;1 792;1 798;1 801;1 800;1 796;1 789;1 790;1 798;1 796;1 792;1 796;1 794
2011;1 748;1 759;1 771;1 778;1 782;1 777;1 777;1 777;1 790;1 790;1 794;1 797;1 778
2010;1 712;1 722;1 726;1 726;1 730;1 730;1 725;1 725;1 739;1 745;1 751;1 763;1 733
2009;1 701;1 701;1 706;1 709;1 710;1 714;1 706;1 710;1 715;1 719;1 719;1 723;1 711
2008;1 679;1 686;1 702;1 711;1 719;1 727;1 725;1 724;1 742;1 745;1 730;1 707;1 716
2007;1 627;1 636;1 646;1 655;1 653;1 656;1 653;1 653;1 669;1 678;1 689;1 692;1 659
2006;1 596;1 604;1 615;1 623;1 626;1 626;1 623;1 624;1 633;1 633;1 636;1 636;1 623
2005;1 587;1 594;1 598;1 600;1 601;1 601;1 595;1 598;1 610;1 613;1 609;1 609;1 601
