Date,Time,Type_of_Vehicle,Municipality_Code,Municipality_Name,Type_of_Municipality_Code,Type_of_Muncipality,Reason,Year,Quarter,Month,Day,Weekday,Hour,Minute,Region_Code,Week,Holidays,Christmas_Holidays,Sport_Holidays,Easter_Holidays,Summer_Holidays,Autumn_Holidays,Temperature,Precipitation
2012-01-01T00:00:00Z,1899-12-31T00:08:00Z,"Container, Personbil",0128,Salem,2,Pendlingskommun nära storstad,Unknown,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1.4,6.9
2012-01-01T00:00:00Z,1899-12-31T00:10:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.7,5.3
2012-01-01T00:00:00Z,1899-12-31T01:28:00Z,Personbil,0182,Nacka,2,Pendlingskommun nära storstad,Unknown,2012,1,1,1,Sunday,0,0,1,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.1,5.9
2012-01-01T00:00:00Z,1899-12-31T01:39:00Z,Övriga vägfordon,0126,Huddinge,2,Pendlingskommun nära storstad,Other Reason,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1.3,6.5
2012-01-01T00:00:00Z,1899-12-31T03:03:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Unknown,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1.4,5.8
2012-01-01T00:00:00Z,1899-12-31T03:08:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.7,5.3
2012-01-01T00:00:00Z,1899-12-31T03:38:00Z,Personbil,0163,Sollentuna,2,Pendlingskommun nära storstad,Arson,2012,1,1,1,Sunday,0,0,1,52,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,-1.3,5.1
2012-01-01T00:00:00Z,1899-12-31T04:03:00Z,Övriga vägfordon,0140,Nykvarn,4,Pendlingskommun nära större stad,Unknown,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1.4,7.2
2012-01-01T00:00:00Z,1899-12-31T07:48:00Z,Personbil,0115,Vallentuna,2,Pendlingskommun nära storstad,Arson,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-1.4,5.2
2012-01-01T00:00:00Z,1899-12-31T21:14:00Z,Personbil,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.7,5.3
2012-01-01T00:00:00Z,1899-12-31T21:47:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,1,Sunday,0,0,1,52,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,-0.7,5.3
2012-01-02T00:00:00Z,1899-12-31T00:37:00Z,Personbil,0139,Upplands-Bro,2,Pendlingskommun nära storstad,Arson,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,4.6
2012-01-02T00:00:00Z,1899-12-31T01:32:00Z,Personbil,0115,Vallentuna,2,Pendlingskommun nära storstad,Arson,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.1,4.3
2012-01-02T00:00:00Z,1899-12-31T06:08:00Z,Fartyg eller båt,0115,Vallentuna,2,Pendlingskommun nära storstad,Unknown,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.1,4.3
2012-01-02T00:00:00Z,1899-12-31T13:19:00Z,Personbil,0191,Sigtuna,2,Pendlingskommun nära storstad,Technical Malfunctioning,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,5
2012-01-02T00:00:00Z,1899-12-31T14:12:00Z,Personbil,0114,Upplands Väsby,2,Pendlingskommun nära storstad,Technical Malfunctioning,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,4.3
2012-01-02T00:00:00Z,1899-12-31T20:03:00Z,Personbil,0140,Nykvarn,4,Pendlingskommun nära större stad,Unknown,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,4.5
2012-01-02T00:00:00Z,1899-12-31T20:04:00Z,Personbil,0140,Nykvarn,4,Pendlingskommun nära större stad,Unknown,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,4.5
2012-01-02T00:00:00Z,1899-12-31T20:59:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.5,4.3
2012-01-02T00:00:00Z,1899-12-31T23:59:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,2,Monday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4.5,4.3
2012-01-03T00:00:00Z,1899-12-31T01:11:00Z,Personbil,0180,Stockholm,1,Storstäder,Arson,2012,1,1,3,Tuesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.2,11.9
2012-01-03T00:00:00Z,1899-12-31T15:31:00Z,Övriga vägfordon,0163,Sollentuna,2,Pendlingskommun nära storstad,Other Reason,2012,1,1,3,Tuesday,0,0,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2.9,11.4
2012-01-03T00:00:00Z,1899-12-31T15:55:00Z,Personbil,0127,Botkyrka,2,Pendlingskommun nära storstad,Other Reason,2012,1,1,3,Tuesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.8,13.3
2012-01-03T00:00:00Z,1899-12-31T20:00:00Z,Övriga vägfordon,0180,Stockholm,1,Storstäder,Unknown,2012,1,1,3,Tuesday,0,0,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.2,11.9
